id	title	author	author_norm	GND	date	series	genre	publisher	license	tokenCount				
k00300000096	Heiße Leidenschaft – kaltes Herz?	Dani Collins	Collins, Dani		2016	Julia	liebe	Cora	restricted	42264				
k00300000097	Unternehmen „Stardust“	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34093				2223
k00300000098	Die dritte Macht	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34822				
k00300000099	Die strahlende Kuppel	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31676				
k00300000100	Götterdämmerung	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34631				
k00300000101	Atom-Alarm	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34484				
k00300000102	Das Mutanten-Korps	Shols Winfried	Winfried, Shols	1019576359	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	35462				
k00300000103	Invasion aus dem All	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34150				
k00300000104	Die Venusbasis	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	37541				
k00300000105	Hilfe für die Erde	Shols Winfried	Winfried, Shols	1019576359	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34653				
k00300000106	Raumschlacht im Wega-Sektor	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31337				
k00300000107	Mutanten im Einsatz	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32061				
k00300000108	Das Geheimnis der Zeitgruft	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32609				
k00300000109	Die Festung der sechs Monde	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32657				
k00300000110	Das galaktische Rätsel	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32595				
k00300000111	Die Spur durch Zeit und Raum	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31982				
k00300000112	Die Geister von Gol	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	33375				
k00300000113	Planet der sterbenden Sonne	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	33531				
k00300000114	Die Rebellen von Tuglan	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	33333				
k00300000115	Der Unsterbliche	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	29865				
k00300000116	Venus in Gefahr	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	30195				
k00300000117	Der Atomkrieg findet nicht statt	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31105				
k00300000118	Thoras Flucht	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34363				
k00300000119	Geheimschaltung X	Shols Winfried	Winfried, Shols	1019576359	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32710				
k00300000120	Im Dschungel der Urwelt	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31265				
k00300000121	Der Overhead	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	30827				
k00300000122	Duell der Mutanten	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32492				
k00300000123	Im Banne des Hypno	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	33794				
k00300000124	Der kosmische Lockvogel	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31152				
k00300000125	Die Flotte der Springer	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	30023				
k00300000126	Tifflor der Partisan	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	29635				
k00300000127	Der Kaiser von New York	Shols Winfried	Winfried, Shols	1019576359	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32330				
k00300000128	Ausflug in die Unendlichkeit	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32449				
k00300000129	Eiswelt in Flammen	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	33589				
k00300000130	Levtan der Verräter	Brand Kurt	Kurt, Brand	119389169	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32759				
k00300000131	Im Land der Götter	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	30432				
k00300000132	Die Seuche des Vergessens	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32772				
k00300000133	Ein Planet spielt verrückt	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31988				
k00300000134	Vorstoß nach Arkon	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31579				
k00300000135	Die Welt der drei Planeten	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	30651				
k00300000136	Aktion gegen Unbekannt	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32662				
k00300000137	Der Partner des Giganten	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31002				
k00300000138	Raumschiff TITAN funkt SOS	Brand Kurt	Kurt, Brand	119389169	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	33500				
k00300000139	Rauschgifthändler der Galaxis	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32353				
k00300000140	Der Mensch und das Monster	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	28589				
k00300000141	Seuchenherd Aralon	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31349				
k00300000142	Geschäfte mit Arkon-Stahl	Brand Kurt	Kurt, Brand	119389169	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32484				
k00300000143	Gom antwortet nicht	Mahr Kurt	Kurt, Mahr	123137179	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	34801				
k00300000144	Rotes Auge Beteigeuze	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	31688				
k00300000145	Die Erde stirbt	Darlton Clark	Clark, Darlton	119077752	1961	Perry Rhodan	scifi	Pabel-Moewig	restricted	32556				
k00300000146	Der Einsame der Zeit	Scheer Karl-Herbert	Karl-Herbert, Scheer	107368099	1962	Perry Rhodan	scifi	Pabel-Moewig	restricted	31471				
